from,to,w
13,1181,1.702369555701907
13,1194,1.209848637411918
13,1195,1.3941934141435877
13,1197,1.040217967198381
13,1206,1.150410173485544
13,1222,1.062546700835889
13,1236,1.1196037274233714
13,1266,1.0584032262995384
13,1269,1
13,1283,1.043220612035252
13,1296,1.024276719457292
13,1316,1.219505628650224
13,1317,1.0223933824332276
13,1319,1.6247383786485092
13,1341,1.1058745681485989
13,1359,1
13,1367,1.1047933924660567
13,1383,1.1325723709092244
13,1391,1.1053607269309929
13,1393,1.470427889283329
13,1396,1.1417769392547268
13,1421,1.188626315661685
13,1423,1.0129475837105557
13,1462,1.0463636155181038
13,1492,1.0502659559667338
13,1509,1.0430991740961373
13,1523,1.1871850747244848
13,1578,1.1608849716791416
13,1594,1.4526901365915716
13,1602,1.8186344351901795
13,1650,1.0800665208065021
13,1653,1.5782782522216774
13,1663,1.0531458805653897
13,1673,1
13,1716,1.0294263266148993
13,1725,1.060225652411162
13,1756,1.1266675030974302
13,1779,1.2594860783586967
13,1815,1.0955383854498353
13,1822,1
13,1845,1
13,1850,1.2844306057133867
13,1863,1.0751145670666746
13,1909,1.06211843555969
13,1916,1.0199193595547011
13,1921,1.4153318991546744
13,1945,1
13,1957,1.8207498496087307
13,1982,1.024276719457292
13,2001,1.0194213755658335
13,2011,1.09786571558001
13,2028,1.180960442768932
13,2031,1.1647747852631205
13,2032,1.0071931020614198
13,2033,1.0451636442483552
13,2034,1.1769588246942027
13,2070,1.072421428102415
13,2084,1.4255953992206591
13,2114,1
13,2142,1.0258951674211114
13,2163,1.224117125955753
13,2172,1.806053822848035
13,2185,1.1419532655125388
13,2219,1.0511320763484358
13,2251,1.2861867801993243
13,2268,1.082413183555156
13,2272,1.320142646681776
13,2275,1.1737039175640318
13,2284,1.1908021310525827
13,2345,1.1035852186885546
13,2350,1.063848846714928
13,2401,1.0777457656761473
13,2454,1.1472455720284083
13,2475,1.0711970776231936
13,2477,1.1620994324511176
13,2481,1.021368214383566
13,2498,1
13,2516,1.0473427201168766
13,2584,1.1744545640767887
13,2602,1.4079079911315342
13,2611,1.1862919565378165
13,2633,1.1560784798466461
13,2636,1.2138518547664627
13,2638,1
